Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Dependents,Continent,Age,ConvertedSalary,HDI,GDP,GINI
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,70841,1,1,1
1,1,1,1,2,2,2,2,2,1,1,2,1,2,1,2,41671,1,1,1
1,2,1,0,2,2,3,3,3,1,1,3,1,2,2,2,120000,1,2,2
1,2,1,0,1,2,1,2,3,1,1,4,1,1,2,1,250000,1,2,2
2,3,2,0,2,2,4,2,1,1,1,5,1,2,1,2,0,1,1,3
1,4,1,1,1,2,2,2,4,1,1,1,1,1,1,1,47904,1,1,3
1,5,1,1,3,1,5,2,4,1,1,1,1,1,3,1,95968,1,1,1
2,1,1,1,2,2,3,1,1,1,1,1,1,2,1,3,420,1,1,1
1,2,1,0,2,2,6,1,3,2,1,6,1,1,2,4,75000,1,2,2
1,6,1,1,2,3,7,2,1,3,1,1,1,2,4,3,10958,2,3,2
1,4,1,1,2,4,8,1,2,1,1,2,2,1,1,3,72611,1,1,3
2,2,1,1,1,2,7,1,3,1,1,3,1,2,2,3,900000,1,2,2
2,7,1,0,2,2,7,2,3,1,1,3,1,2,1,3,30000,2,3,1
1,2,1,1,2,2,2,1,1,4,1,5,1,2,2,2,44000,1,2,2
2,2,1,1,2,5,7,2,3,4,1,2,1,2,2,3,60000,1,2,2
1,2,1,1,2,2,8,1,1,1,1,3,1,1,2,3,80000,1,2,2
1,6,1,0,3,6,4,2,3,1,1,1,3,1,4,1,123984,2,3,2
2,8,1,0,2,5,9,4,3,4,1,7,1,1,1,1,21228,2,3,2
1,2,1,1,3,2,3,2,3,1,1,7,1,2,2,3,74000,1,2,2
1,6,1,1,2,2,7,2,1,1,1,3,3,1,4,3,6576,2,3,2
